某省1978～1988年全民所有制单位固定资产投资总额如表 7 所示，试预测
1989 年和 1990 年固定资产投资总额。 
年份           投资总额y
1978                20.04
1979                20.06
1980                25.72
1981                34.61
1982                51.77
1983                55.92
1984                80.65
1985              131.11
1986              148.58
1987              162.67
1988              232.26
