2005-5-17	1091.26	1108.18	1083.94	1099.64	0.007679197
2005-5-18	1099.74	1108.84	1090.3	1102.97	0.002937058
2005-5-19	1101.75	1107.23	1083.12	1103.48	0.001570229
2005-5-20	1100.49	1108.61	1094.67	1099.27	-0.001108597
2005-5-23	1095.31	1095.31	1069.44	1070.84	-0.022340707
2005-5-24	1066	1078.1	1057.54	1073.85	0.007363977
2005-5-25	1072.52	1082.18	1064.88	1072.14	-0.000354306
2005-5-26	1071.21	1077.44	1055.82	1058.87	-0.011519683
2005-5-27	1056.32	1068.21	1050.06	1051.95	-0.004137004
2005-5-30	1049.72	1063.95	1043.28	1060.16	0.009945509
2005-5-31	1061.61	1070.5	1057.75	1060.74	-0.00081951
2005-6-1	1059.61	1063.52	1035.71	1039.19	-0.019271241
2005-6-2	1036.73	1036.73	1008.75	1016.06	-0.019937689
2005-6-3	1013.9	1019.92	1000.52	1013.64	-0.000256436
2005-6-9	1118.81	1146.42	1103.68	1131.05	0.010940195
2005-6-10	1130.55	1130.55	1101.83	1108.29	-0.019689532
2005-6-13	1105.96	1112.1	1085.87	1106.29	0.000298383
2005-6-14	1108.34	1119.68	1092.4	1093.46	-0.013425483
2005-6-15	1090.46	1090.46	1070.07	1072.84	-0.016158319
2005-6-16	1071.77	1086.35	1064.03	1086.01	0.013286433
2005-6-17	1090.11	1094.67	1079.08	1085.61	-0.004128024
2005-6-20	1087.85	1115.86	1073.41	1115.62	0.025527416
2005-6-21	1115.67	1115.67	1098.9	1101.49	-0.012709851
2005-6-22	1098.96	1103.25	1090.75	1102.03	0.00279355
2005-6-23	1100.56	1106.75	1092.48	1093.7	-0.00623319
2005-6-24	1091.99	1102.23	1087.69	1101.88	0.009056859
2005-6-27	1108.47	1129.96	1108.47	1124.64	0.014587675
2005-6-28	1120.95	1120.95	1105.34	1108.59	-0.011026362
2005-6-29	1111.67	1113.52	1103.91	1104.99	-0.006008977
2005-6-30	1103.48	1103.48	1078.1	1080.94	-0.020426288
2005-7-1	1077.31	1077.31	1053.63	1055.59	-0.020161328
2005-7-4	1050.24	1050.24	1030.18	1047.28	-0.002818403
2005-7-5	1043.88	1047.82	1032.52	1039.04	-0.004636548
2005-7-6	1040.7	1044.78	1028.22	1033.55	-0.006870376
2005-7-7	1033.22	1044.05	1030.5	1038.6	0.005207023
2005-7-8	1036.41	1036.41	1015.4	1017.98	-0.017782538
2005-7-11	1026.79	1043.21	1009.04	1011.5	-0.014891068
2005-7-12	1007.9	1048.92	1004.08	1046.16	0.037960115
2005-7-13	1044.58	1045.94	1033.81	1037.39	-0.006883149
2005-7-14	1035.53	1049.88	1033.17	1040.42	0.00472222
2005-7-15	1039.61	1046.36	1021.99	1026.12	-0.01297602
2005-7-18	1023.38	1023.38	1008.52	1012.1	-0.011022299
2005-7-20	1013.98	1025.1	1008.68	1021.05	0.006972524
2005-7-21	1020.69	1022.04	1009.99	1020.63	-5.87838E-05
2005-7-22	1026.13	1054.64	1024	1046.32	0.01967587
2005-7-25	1045.27	1048.97	1040.59	1045.4	0.00012437
2005-7-26	1046.54	1078.06	1046.54	1072.81	0.025101764
2005-7-27	1072.56	1090.19	1068.5	1089.91	0.016176251
2005-7-28	1090.11	1097.63	1083.36	1086.55	-0.003265725
2005-7-29	1084.97	1088.48	1077.12	1083.03	-0.001788068
2005-8-1	1082.8	1094.15	1081.12	1088.95	0.005679719
